ApprovalFY,DisbursementGross_num,State,UrbanRural_f,SBA_Portion,NAICS_sector,NoEmp,SBA_Appv_num,Bank,PaidInFull
2007,367000.0,CO,Urban,0.75,62,3,275250.0,"READYCAP LENDING, LLC",0
2004,25000.0,UT,Urban,0.5,45,1,12500.0,MOUNTAIN AMERICA FCU,1
2005,28000.0,NH,Rural,0.5,33,1,14000.0,CITIZENS BANK NATL ASSOC,1
2003,5000.0,PA,Urban,0.5,81,2,2500.0,CITIZENS BANK NATL ASSOC,1
2006,121631.0,VA,Rural,0.75,72,2,128250.0,MANUFACTURERS & TRADERS TR CO,1
2005,85194.0,PA,Urban,0.5,54,3,13500.0,BANK OF AMERICA NATL ASSOC,1
2003,50000.0,CA,Urban,0.5,42,4,25000.0,UNITI BANK,0
2005,50000.0,VT,Urban,0.5,44,1,25000.0,MERCHANTS BANK,0
2008,22666.0,MI,Urban,0.5,54,0,10000.0,THE HUNTINGTON NATIONAL BANK,1
2007,10000.0,CA,Urban,0.85,44,2,8500.0,BBCN BANK,0
2006,31338.0,NY,Urban,0.5,53,2,7200.0,BANK OF AMERICA NATL ASSOC,1
2005,38500.0,TN,Urban,0.5,23,12,15000.0,BANK OF AMERICA NATL ASSOC,0
2003,116000.0,MA,Rural,0.85,54,21,98600.0,PENTUCKET BANK,1
2006,35000.0,AR,Rural,0.5,54,10,17500.0,BANK OF AMERICA NATL ASSOC,0
2005,122450.0,OH,Urban,0.5,72,3,47500.0,"PNC BANK, NATIONAL ASSOCIATION",1
2007,144000.0,MA,Urban,0.5,44,1,72000.0,"TD BANK, NATIONAL ASSOCIATION",0
2004,500000.0,KY,Rural,0.75,62,2,375000.0,"COMMUNITY TRUST BANK, INC.",1
2006,14500.0,FL,Rural,0.5,48,1,6000.0,BANK OF AMERICA NATL ASSOC,0
2010,125000.0,NH,Urban,0.9,44,2,112500.0,TRIANGLE CU,1
2007,187786.0,IN,Urban,0.5,31,9,50000.0,FIRST FINAN BANK NATL ASSOC,1
2005,107151.0,CO,Urban,0.5,52,4,10000.0,U.S. BANK NATIONAL ASSOCIATION,0
2008,88552.0,TX,Urban,0.5,48,4,31650.0,BANK OF AMERICA NATL ASSOC,1
2003,25000.0,NH,Urban,0.85,42,3,21250.0,CITIZENS BANK NATL ASSOC,1
2008,55523.0,TX,Urban,0.5,23,2,12500.0,JPMORGAN CHASE BANK NATL ASSOC,1
2010,110180.0,MD,Urban,0.5,45,1,20000.0,MANUFACTURERS & TRADERS TR CO,1
2005,236042.0,NY,Urban,0.5,48,2,50000.0,FIRST NIAGARA BANK NATL ASSOC,1
2000,452500.0,MS,Rural,0.75,11,2,339375.0,FIRST FINANCIAL BANK,1
2005,43777.0,TX,Urban,0.5,23,14,17500.0,JPMORGAN CHASE BANK NATL ASSOC,1
2003,10000.0,FL,Urban,0.5,54,1,5000.0,BANK OF AMERICA NATL ASSOC,1
2008,50360.0,FL,Urban,0.5,23,1,17500.0,JPMORGAN CHASE BANK NATL ASSOC,1
2006,15000.0,CA,Urban,0.5,62,2,7500.0,WELLS FARGO BANK NATL ASSOC,1
2001,84821.0,NH,Urban,0.5,81,5,21500.0,CITIZENS BANK NATL ASSOC,1
2007,66000.0,NC,Rural,0.5,48,0,33000.0,BRANCH BK. & TR CO,1
2006,14121.0,CA,Urban,0.5,53,1,5000.0,BANK OF AMERICA NATL ASSOC,1
2005,145690.0,KY,Urban,0.5,23,5,25000.0,"PNC BANK, NATIONAL ASSOCIATION",1
2005,93104.0,NY,Urban,0.5,42,3,25000.0,MANUFACTURERS & TRADERS TR CO,1
2007,15000.0,CO,Urban,0.5,81,4,7500.0,CAPITAL ONE NATL ASSOC,1
2004,1298000.0,OH,Urban,1.0,72,1,1300000.0,OHIO STATEWIDE DEVEL CORP,1
2007,15000.0,IL,Urban,0.5,45,0,7500.0,FIFTH THIRD BANK,0
2005,50000.0,NY,Rural,0.5,44,3,25000.0,CAPITAL ONE NATL ASSOC,0
2005,127795.0,RI,Urban,0.5,23,6,37500.0,CITIZENS BANK NATL ASSOC,1
2001,120000.0,CA,Rural,0.85,54,6,102000.0,MUFG UNION BANK NATL ASSOC,1
2009,1016200.0,NY,Urban,0.9,42,70,914580.0,NEW YORK BUS. DEVEL CORP,1
2006,104798.0,TX,Urban,0.5,71,9,25000.0,JPMORGAN CHASE BANK NATL ASSOC,1
2009,250000.0,VA,Urban,0.5,72,1,125000.0,UNION FIRST MARKET BANK,1
2001,75000.0,MN,Urban,0.85,72,37,63750.0,ANCHOR BANK NATL ASSOC,1
2005,100000.0,OH,Urban,0.5,44,3,50000.0,CITIZENS BANK NATL ASSOC,0
2005,119960.0,MA,Rural,0.5,56,4,15000.0,BERKSHIRE BANK,1
2003,99569.0,MN,Rural,0.5,23,2,10000.0,AMERICAN BANK OF THE NORTH,1
2006,80176.0,UT,Urban,0.5,42,1,25000.0,KEYBANK NATIONAL ASSOCIATION,0
2005,96206.0,CA,Urban,0.5,81,6,15000.0,WELLS FARGO BANK NATL ASSOC,0
2006,1277564.0,TX,Urban,0.75,33,13,480000.0,BANK OF THE OZARKS,1
2006,182474.0,CO,Urban,0.5,31,6,19000.0,JPMORGAN CHASE BANK NATL ASSOC,1
2006,32479.0,MI,Urban,0.5,81,8,3650.0,CITIZENS BANK NATL ASSOC,1
2004,26436.0,CA,Urban,0.5,54,5,12500.0,BANK OF AMERICA NATL ASSOC,1
2002,5000.0,MA,Urban,0.5,72,6,2500.0,CITIZENS BANK NATL ASSOC,1
2007,15646.0,CA,Urban,0.5,81,3,7500.0,WELLS FARGO BANK NATL ASSOC,0
2008,5150.0,CA,Urban,0.5,44,1,2500.0,WELLS FARGO BANK NATL ASSOC,1
2003,650000.0,WA,Rural,0.75,48,19,487500.0,BANNER BANK,1
2003,80000.0,IN,Rural,0.85,71,6,68000.0,FIRST FINAN BANK NATL ASSOC,1
2007,29324.0,TX,Urban,0.5,23,1,7500.0,JPMORGAN CHASE BANK NATL ASSOC,0
2006,125000.0,CA,Urban,0.85,72,3,106250.0,FIRST U.S. COMMUNITY CU,0
2006,20000.0,NY,Rural,0.5,81,6,10000.0,HSBC BK USA NATL ASSOC,1
2006,24722.0,CA,Urban,0.5,54,2,7500.0,BANK OF AMERICA NATL ASSOC,0
2009,75000.0,CA,Urban,0.5,48,8,37500.0,WELLS FARGO BANK NATL ASSOC,0
2007,75000.0,MI,Urban,0.5,32,2,37500.0,CAPITAL ONE NATL ASSOC,0
2006,25000.0,IL,Urban,0.5,23,15,12500.0,JPMORGAN CHASE BANK NATL ASSOC,0
2007,129720.0,PA,Urban,0.5,42,5,20000.0,WELLS FARGO BANK NATL ASSOC,1
2006,18940.0,CA,Urban,0.5,52,1,5000.0,MUFG UNION BANK NATL ASSOC,1
2003,27420.0,AZ,Urban,0.5,42,3,10000.0,WELLS FARGO BANK NATL ASSOC,1
2008,25000.0,MA,Rural,0.5,23,1,12500.0,CITIZENS BANK NATL ASSOC,0
2005,8213.0,CA,Urban,0.5,81,4,4000.0,BANK OF AMERICA NATL ASSOC,1
2008,43186.0,MI,Urban,0.5,48,3,12500.0,JPMORGAN CHASE BANK NATL ASSOC,1
2000,171000.0,CA,Urban,1.0,23,12,171000.0,CDC SMALL BUS. FINAN CORP,1
2009,370500.0,WI,Urban,0.75,33,2,277875.0,BMO HARRIS BK NATL ASSOC,1
2005,177600.0,FL,Urban,0.5,54,6,50000.0,BANK OF AMERICA NATL ASSOC,1
2007,35000.0,PA,Urban,0.5,54,1,15000.0,"PNC BANK, NATIONAL ASSOCIATION",1
2005,165900.0,MI,Urban,0.5,54,3,82950.0,"PNC BANK, NATIONAL ASSOCIATION",1
2007,5000.0,FL,Urban,0.85,54,12,4250.0,BBCN BANK,0
2005,127710.0,CA,Urban,0.5,23,4,25000.0,MUFG UNION BANK NATL ASSOC,0
2007,15000.0,NY,Urban,0.5,56,3,5000.0,BANK OF AMERICA NATL ASSOC,0
2009,310757.0,NE,Urban,0.75,62,4,292500.0,WELLS FARGO BANK NATL ASSOC,1
2006,91444.0,OH,Urban,0.5,23,1,15000.0,U.S. BANK NATIONAL ASSOCIATION,1
2004,53550.0,IL,Urban,0.5,56,1,17500.0,"PNC BANK, NATIONAL ASSOCIATION",1
2007,75009.0,CA,Urban,0.5,54,2,37500.0,BANCO POPULAR NORTH AMERICA,0
2005,20000.0,MD,Urban,0.5,54,2,10000.0,SUNTRUST BANK,1
2008,55942.0,ID,Urban,0.5,62,2,15000.0,U.S. BANK NATIONAL ASSOCIATION,1
2005,404300.0,CA,Urban,0.75,23,4,303225.0,COAST NATIONAL BANK,1
2004,10000.0,PA,Urban,0.5,56,5,5000.0,CAPITAL ONE NATL ASSOC,1
2007,110000.0,CA,Rural,0.5,42,7,55000.0,FIRST-CITIZENS BK & TR CO,1
2005,28900.0,MI,Urban,0.5,44,3,8750.0,BANK OF AMERICA NATL ASSOC,0
2005,10000.0,CA,Rural,0.5,44,4,5000.0,BANK OF AMERICA NATL ASSOC,1
2008,100000.0,NY,Urban,0.85,72,1,85000.0,HSBC BK USA NATL ASSOC,1
2006,21597.0,MO,Urban,0.5,23,4,5000.0,U.S. BANK NATIONAL ASSOCIATION,1
2005,350000.0,MD,Urban,0.75,45,7,262500.0,MANUFACTURERS & TRADERS TR CO,1
2004,25000.0,NJ,Urban,0.5,54,1,12500.0,BANK OF AMERICA NATL ASSOC,1
2007,99538.0,WA,Urban,0.5,45,4,25000.0,JPMORGAN CHASE BANK NATL ASSOC,0
2005,71120.0,MD,Urban,0.5,42,1,12500.0,MANUFACTURERS & TRADERS TR CO,1
2003,6450.0,NJ,Urban,0.5,45,1,2100.0,BANK OF AMERICA NATL ASSOC,1
2005,50000.0,NY,Urban,0.5,42,3,25000.0,BANK OF AMERICA NATL ASSOC,0
2007,39250.0,TX,Urban,0.5,48,1,10000.0,BANK OF AMERICA NATL ASSOC,1
2007,211662.0,TX,Urban,0.5,54,31,40000.0,WELLS FARGO BANK NATL ASSOC,1
2007,52031.0,MI,Urban,0.5,44,0,12500.0,THE HUNTINGTON NATIONAL BANK,0
2003,53968.0,WA,Urban,0.5,54,1,15250.0,BANK OF AMERICA NATL ASSOC,1
2006,24127.0,FL,Urban,0.5,45,2,5000.0,BANK OF AMERICA NATL ASSOC,1
2007,112203.0,MI,Urban,0.5,23,4,25000.0,"PNC BANK, NATIONAL ASSOCIATION",0
2009,34168.0,CA,Urban,0.5,54,5,10000.0,CALIFORNIA BANK & TRUST,1
2006,91642.0,CO,Urban,0.5,52,6,17500.0,WELLS FARGO BANK NATL ASSOC,1
2006,103920.0,MA,Urban,0.5,54,1,12500.0,CITIZENS BANK NATL ASSOC,1
2008,42125.0,NJ,Urban,0.5,42,2,15000.0,BANK OF AMERICA NATL ASSOC,1
2007,100000.0,NY,Urban,0.5,81,9,50000.0,"CITIBANK, N.A.",1
2005,90000.0,CA,Rural,0.5,81,10,45000.0,CALIFORNIA BANK & TRUST,0
2006,1135000.0,MA,Urban,0.75,44,2,851250.0,INDEPENDENCE BANK,0
2006,50000.0,TN,Urban,0.5,23,17,25000.0,BANK OF AMERICA NATL ASSOC,1
2005,9434.0,SC,Rural,0.5,81,1,4200.0,BANK OF AMERICA NATL ASSOC,1
2003,100000.0,IN,Rural,0.5,23,20,50000.0,BUSEY BANK,1
2007,25000.0,UT,Urban,0.5,72,7,12500.0,JPMORGAN CHASE BANK NATL ASSOC,1
2006,10000.0,FL,Urban,0.5,56,1,5000.0,BANK OF AMERICA NATL ASSOC,1
2007,254500.0,MO,Urban,0.5,44,3,127250.0,COMMERCE BANK,1
2003,245000.0,PA,Rural,0.75,81,2,183750.0,INDIANA 1ST SAVINGS BK D/B/A I,1
2007,101086.0,TX,Urban,0.5,53,9,50000.0,JPMORGAN CHASE BANK NATL ASSOC,0
2007,11000.0,GA,Urban,0.5,61,1,5000.0,BANK OF AMERICA NATL ASSOC,0
2007,315000.0,WI,Rural,0.75,51,10,236250.0,LADYSMITH FED. S & L ASSOC,1
2001,10000.0,OR,Urban,0.5,44,3,5000.0,U.S. BANK NATIONAL ASSOCIATION,1
2006,49187.0,WV,Rural,0.5,23,4,12500.0,JPMORGAN CHASE BANK NATL ASSOC,0
2003,70000.0,CA,Urban,0.5,31,2,25000.0,HANMI BANK,1
2003,323000.0,UT,Urban,1.0,23,6,323000.0,UTAH CERT. DEVEL CO,1
1999,450000.0,KY,Rural,0.75,23,14,337500.0,PBI BANK,1
2005,10000.0,CT,Urban,0.5,81,1,5000.0,BANK OF AMERICA NATL ASSOC,1
2005,39607.0,NE,Urban,0.5,23,9,12500.0,U.S. BANK NATIONAL ASSOCIATION,1
2007,113582.0,OH,Urban,0.5,32,1,25000.0,"PNC BANK, NATIONAL ASSOCIATION",1
2000,495000.0,MN,Urban,0.75,54,46,371250.0,BMO HARRIS BK NATL ASSOC,1
2008,75000.0,IA,Urban,0.85,71,2,63750.0,WELLS FARGO BANK NATL ASSOC,1
2005,145070.0,NC,Urban,0.5,44,1,50000.0,BANK OF AMERICA NATL ASSOC,1
2007,210946.0,CA,Urban,0.5,42,2,25000.0,U.S. BANK NATIONAL ASSOCIATION,0
2008,12500.0,OH,Rural,0.85,45,2,10625.0,"SUPERIOR FINANCIAL GROUP, LLC",0
2005,59873.0,OH,Urban,0.85,31,2,33150.0,CITIZENS BANK NATL ASSOC,1
2007,10000.0,AL,Rural,0.85,81,1,8500.0,BBCN BANK,0
2003,69130.0,AZ,Urban,0.5,81,1,12500.0,JPMORGAN CHASE BANK NATL ASSOC,0
2009,57500.0,UT,Urban,0.5,81,8,12500.0,MOUNTAIN AMERICA FCU,0
2006,64000.0,OH,Urban,0.5,62,2,32000.0,"PNC BANK, NATIONAL ASSOCIATION",1
2004,57361.0,NH,Urban,0.5,48,1,12500.0,"TD BANK, NATIONAL ASSOCIATION",1
2010,25000.0,AL,Rural,0.85,52,2,21250.0,REDSTONE FCU,0
2004,205000.0,KS,Rural,0.75,42,5,168750.0,PEOPLES EXCHANGE BANK,1
2005,200000.0,CT,Rural,0.75,42,8,150000.0,WEBSTER BANK NATL ASSOC,1
2007,57800.0,PA,Urban,0.5,33,1,12500.0,MANUFACTURERS & TRADERS TR CO,1
2005,34000.0,MI,Urban,0.5,48,1,17000.0,CITIZENS BANK NATL ASSOC,1
2005,332970.0,NJ,Rural,0.5,54,1,62500.0,ESSA BANK & TRUST,1
2005,109909.0,FL,Urban,0.5,72,10,25000.0,BANK OF AMERICA NATL ASSOC,1
2000,30285.0,NY,Urban,0.5,62,7,12500.0,BANK OF AMERICA NATL ASSOC,1
2007,10000.0,MN,Rural,0.85,81,3,8500.0,U.S. BANK NATIONAL ASSOCIATION,1
2007,75551.0,PA,Rural,0.5,33,3,17500.0,"PNC BANK, NATIONAL ASSOCIATION",1
2010,24625.0,UT,Urban,0.5,62,2,10000.0,ZIONS FIRST NATIONAL BANK,1
2002,202000.0,WI,Urban,0.75,72,4,151500.0,LEGACY BANK,1
2001,424200.0,CA,Urban,0.75,62,3,318150.0,PACIFIC WESTERN BANK,1
2003,22001.0,TX,Rural,0.5,81,2,10000.0,BANK OF AMERICA NATL ASSOC,1
2007,124960.0,NY,Urban,0.5,54,3,25000.0,JPMORGAN CHASE BANK NATL ASSOC,0
2006,100000.0,FL,Urban,0.5,54,4,50000.0,BANK OF AMERICA NATL ASSOC,0
2009,68191.0,MN,Urban,0.9,72,25,71100.0,VENTURE BANK,1
2006,34473.0,IN,Urban,0.5,44,4,12500.0,JPMORGAN CHASE BANK NATL ASSOC,1
2006,64961.0,MA,Rural,0.5,53,1,17500.0,GREYLOCK FCU,0
2004,25100.0,MA,Urban,0.5,45,2,12500.0,CITIZENS BANK NATL ASSOC,1
2003,16454.0,NH,Urban,0.5,45,3,2500.0,CITIZENS BANK NATL ASSOC,0
2005,128200.0,PA,Urban,0.75,54,1,96150.0,FIRST NATL BK OF PENNSYLVANIA,1
2005,25000.0,MI,Urban,0.5,52,1,12500.0,CAPITAL ONE NATL ASSOC,0
2004,150000.0,CA,Urban,0.5,42,6,50000.0,FIRST NIAGARA BANK NATL ASSOC,1
2002,165143.0,WA,Urban,0.75,54,2,135000.0,STATE BANK NORTHWEST,0
2005,36752.0,GA,Urban,0.5,51,2,10000.0,BANK OF AMERICA NATL ASSOC,1
2003,10000.0,NC,Urban,0.5,45,2,5000.0,BANK OF AMERICA NATL ASSOC,1
2010,115900.0,WY,Rural,0.9,23,1,104310.0,FIRST NORTHERN BANK OF WYOMING,1
2004,21718.0,MI,Urban,0.5,81,5,10000.0,JPMORGAN CHASE BANK NATL ASSOC,1
2006,35000.0,OH,Urban,0.5,33,8,17500.0,JPMORGAN CHASE BANK NATL ASSOC,0
2008,7000.0,IN,Urban,0.5,48,0,3500.0,THE HUNTINGTON NATIONAL BANK,1
2007,19709.0,CA,Rural,0.5,45,1,5000.0,JPMORGAN CHASE BANK NATL ASSOC,1
2007,100000.0,MI,Urban,0.5,23,3,50000.0,CAPITAL ONE NATL ASSOC,0
2008,35000.0,VA,Urban,0.5,23,1,17500.0,BBCN BANK,0
2007,26759.0,MN,Urban,0.5,53,1,10000.0,U.S. BANK NATIONAL ASSOCIATION,1
2007,10000.0,NY,Urban,0.5,23,1,5000.0,JPMORGAN CHASE BANK NATL ASSOC,1
2002,796000.0,WA,Urban,1.0,72,12,796000.0,NORTHWEST BUS. DEVEL ASSOC,1
2004,58533.0,SC,Urban,0.5,62,9,25000.0,CAPITAL ONE NATL ASSOC,1
2007,68645.0,CO,Urban,0.5,23,6,17500.0,WELLS FARGO BANK NATL ASSOC,0
2005,8595.0,PA,Urban,0.5,51,1,5250.0,CITIZENS BANK NATL ASSOC,0
2007,18926.0,NC,Urban,0.5,23,2,5000.0,BANK OF AMERICA NATL ASSOC,0
2004,20823.0,KY,Urban,0.5,56,1,10000.0,"PNC BANK, NATIONAL ASSOCIATION",0
2003,10000.0,MD,Rural,0.5,33,1,5000.0,BANK OF AMERICA NATL ASSOC,1
2006,22500.0,OK,Urban,0.5,48,2,7000.0,BANK OF AMERICA NATL ASSOC,1
2007,35343.0,CT,Urban,0.5,53,2,12500.0,BANK OF AMERICA NATL ASSOC,1
2001,400000.0,TX,Urban,0.75,44,25,300000.0,COMPASS BANK,1
2007,86704.0,GA,Rural,0.5,72,10,19000.0,JPMORGAN CHASE BANK NATL ASSOC,1
2007,50000.0,CA,Urban,0.5,42,2,25000.0,CALIFORNIA BANK & TRUST,1
2001,840000.0,AR,Rural,0.75,33,30,630000.0,FARMERS BANK & TRUST COMPANY,0
2005,10000.0,DE,Urban,0.5,72,6,5000.0,"PNC BANK, NATIONAL ASSOCIATION",1
2006,106421.0,CA,Rural,0.5,72,1,15000.0,JPMORGAN CHASE BANK NATL ASSOC,1
2009,39195.0,HI,Urban,0.5,48,2,10000.0,CENTRAL PACIFIC BANK,0
2004,199000.0,UT,Urban,1.0,71,1,199000.0,MOUNTAIN W. SMALL BUS. FINAN,1
2008,670000.0,MI,Urban,0.75,72,2,502500.0,EH NATIONAL BANK,1
